기간,구분,아동학대의심사례 응급아동학대의심사례,아동학대의심사례,일반상담,동일신고,해외발생사례,교직원,의료인,아동복지시설종사자,장애인복지시설종사자,보육교직원,유치원교직원_강사,학원강사,소방구급대원,성매매피해시설상담소종사자,한부모가족복지시설종사자,가족폭력상담소보호시설종사자,사회복지전담공무원,아이돌보미,취약계층아동통합서비스지원인력,아동보호전문기관상담원,가정위탁지원센터종사자,아동복지전담공무원,건강가정지원센터종사자,다문화가족지원센터종사자,사회복지시설종사자,성폭력피해자보호시설종사자,응급구조사,의료기사,청소년시설_단체종사자,청소년보호센터_재활센터종사자,정신보건센터종사자,아동본인,부모,형제_자매,친인척,이웃_친구,경찰,종교인,사회복지관련종사자,낯선사람,익명,아동보호전문기관장과 종사자,의료사회복지사,법원
2018,대구,58,1507,146,45,0,222,14,38,2,5,1,3,6,1,0,11,28,6,5,1,5,3,1,0,23,10,0,6,8,0,1,235,316,23,22,73,8,2,11,27,3,402,0,2
2018,인천,24,2088,244,33,0,334,24,9,3,21,11,2,6,0,0,5,53,6,4,0,3,1,3,0,16,2,1,15,0,0,0,336,373,36,33,222,52,2,6,21,6,393,4,1
2018,광주,37,1088,21,11,0,148,10,26,2,0,1,0,0,1,1,4,25,3,3,11,3,2,0,0,3,1,1,2,11,0,0,145,179,8,33,58,6,0,9,19,7,368,5,1
2018,대전,39,1086,60,9,0,178,16,10,0,21,5,0,1,0,0,11,50,1,0,4,0,0,0,0,15,4,0,0,0,0,0,273,219,22,36,91,5,0,13,17,48,54,1,0
2018,울산,10,848,61,10,0,135,9,7,0,3,2,0,0,0,0,6,13,3,1,1,0,1,1,0,8,12,0,2,1,0,0,98,133,3,14,38,3,0,1,13,3,321,6,7
2018,경기,346,8041,694,100,1,1609,99,85,16,61,25,4,0,1,2,38,141,35,2,13,2,12,14,0,52,17,2,48,13,1,1,1218,1612,101,131,523,175,3,62,130,40,1817,24,7
2018,강원,59,1392,74,19,0,288,5,9,3,8,3,0,1,0,0,6,36,17,0,7,4,2,0,0,19,0,0,15,12,2,0,126,187,6,19,30,11,1,3,7,16,574,10,1
2018,충북,103,1006,113,29,0,165,7,11,1,4,7,3,1,0,0,11,34,12,0,0,0,3,13,0,2,0,0,21,6,0,0,130,147,12,23,56,9,1,4,4,5,369,3,4
2018,충남,65,1766,199,16,0,461,15,37,0,10,7,1,1,0,0,13,47,16,1,5,1,1,2,0,5,10,0,23,3,0,0,289,267,21,26,73,26,1,10,21,8,373,4,0
2018,전북,88,1850,145,13,0,367,12,30,4,14,11,1,0,1,0,58,40,22,5,0,2,0,4,0,22,5,5,53,13,0,0,151,260,29,52,104,17,1,44,15,12,544,0,2
2018,전남,58,2025,72,30,0,512,14,42,0,10,6,0,0,0,0,31,32,12,0,1,1,9,5,0,7,3,0,9,22,0,0,277,314,26,36,71,21,0,15,28,10,532,0,0
2018,경북,94,2263,240,43,0,304,24,21,1,19,8,0,2,0,2,45,45,9,0,6,5,9,0,0,11,6,0,32,63,0,0,255,469,18,48,97,26,0,36,25,20,695,2,0
2018,경남,59,1239,28,3,0,257,19,12,6,7,2,0,0,4,0,28,29,7,2,2,1,4,1,0,21,0,1,15,3,0,1,133,246,13,30,86,7,0,3,13,3,304,1,1
2018,제주,14,589,47,7,0,41,2,17,0,4,1,0,0,0,0,3,2,5,0,0,1,0,0,0,1,0,0,0,0,0,0,143,147,15,15,30,5,0,3,20,12,113,1,0
2018,세종,2,94,4,0,0,20,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,28,16,3,3,5,1,0,0,3,1,8,0,0
