"학제별","설립별","대학명","지역별","입학정원 합(명)","평균입학금(원)","평균등록금(원)"
"전문대학","사립","경기과학기술대학교","경기","3456","198660","6382483"
"전문대학","사립","경남정보대학교","부산","5351","200000","6088739"
"전문대학","사립","경민대학교","경기","3608","264000","6408542"
"전문대학","사립","경복대학교","경기","5232","214500","6324544"
"전문대학","사립","경북과학대학교","경북","1701","232900","5661641"
"전문대학","사립","경북보건대학교","경북","1181","187000","5556581"
"전문대학","사립","경북전문대학교","경북","2340","217800","5709333"
"전문대학","사립","경인여자대학교","인천","4002","234000","5944781"
"전문대학","사립","계명문화대학교","대구","4757","238000","5854652"
"전문대학","사립","계원예술대학교","경기","2424","254100","7546040"
"전문대학","사립","고구려대학교","전남","1742","120600","4370563"
"전문대학","사립","광양보건대학교","전남","1227","200000","5582233"
"전문대학","사립","광주보건대학교","광주","3239","212000","5112492"
"전문대학","사립","구미대학교","경북","3645","260000","5771984"
"전문대학","사립","국제대학교","경기","3683","219000","6567498"
"전문대학","사립","군산간호대학교","전북","884","214500","6300000"
"전문대학","사립","군장대학교","전북","1565","204000","5728419"
"전문대학","사립","기독간호대학교","광주","444","181500","5318000"
"전문대학","사립","김포대학교","경기","2724","230000","6303693"
"전문대학","사립","김해대학교","경남","1306","198000","5814548"
"전문대학","사립","농협대학교","경기","175","282000","4888000"
"전문대학","사립","대경대학교","경북","3532","165000","6229114"
"전문대학","사립","대구공업대학교","대구","1256","248000","5778750"
"전문대학","사립","대구과학대학교","대구","3879","260700","5652395"
"전문대학","사립","대구보건대학교","대구","6206","275000","6105529"
"전문대학","사립","대덕대학교","대전","2947","148500","5654628"
"전문대학","사립","대동대학교","부산","1430","214500","5861958"
"전문대학","사립","대림대학교","경기","5718","232701","6594339"
"전문대학","사립","대원대학교","충북","2372","205500","5670614"
"전문대학","사립","대전과학기술대학교","대전","4115","186758","5812034"
"전문대학","사립","대전보건대학교","대전","5250","165990","5574580"
"전문대학","사립","동강대학교","광주","2611","130000","5267054"
"전문대학","사립","동남보건대학교","경기","4123","205000","6458665"
"전문대학","사립","동서울대학교","경기","5561","254000","6696788"
"전문대학","사립","동아방송예술대학교","경기","2469","250800","7352627"
"전문대학","사립","동아보건대학교","전남","1403","59193","4889348"
"전문대학","사립","동양미래대학교","서울","5056","268465","6556566"
"전문대학","사립","동원과학기술대학교","경남","1919","204000","5671673"
"전문대학","사립","동원대학교","경기","3018","218000","6599529"
"전문대학","사립","동의과학대학교","부산","4263","192847","6213710"
"전문대학","사립","동주대학교","부산","2850","213181","5982884"
"전문대학","사립","두원공과대학교","경기","4209","221100","6400936"
"전문대학","사립","마산대학교","경남","5349","196000","5788286"
"전문대학","사립","명지전문대학","서울","5635","267000","6462017"
"전문대학","사립","목포과학대학교","전남","2321","159000","5558335"
"전문대학","사립","문경대학교","경북","825","172920","5789876"
"전문대학","사립","배화여자대학교","서울","2518","252000","5698878"
"전문대학","사립","백석문화대학교","충남","5330","198000","6733009"
"전문대학","사립","백제예술대학교","전북","1280","198000","7468188"
"전문대학","사립","부산경상대학교","부산","2608","200500","5686987"
