분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,경도(X좌표),위도(Y좌표),유무료,문화포털상세URL
클래식,강북구,가을의 어느 멋진 날,2022-09-24~2022-09-24,강북문화예술회관 대공연장,강북문화재단,8세 이상,"R석(1층) 2만원, S석(2층) 1만원",,,,http://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=125,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b9750bd06da44f09972a31676442ccfc&thumb=Y,2022.9.1,기관,2022.9.24 0:00,2022.9.24 0:00,,37.6408544,127.0133421,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139182&menuNo=200008
콘서트,마포구,쉴라 조던 내한공연 The Art Of Jazz Vocal,2022-09-24~2022-09-24,아트홀맥,마포문화재단,만 8세이상,"R석 77,000원 S석 55,000원",,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2094&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2ecac533b23241febeff9bdbee7a2298&thumb=Y,2022.8.25,기관,2022.9.24 0:00,2022.9.24 0:00,,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139102&menuNo=200008
기타,마포구,[서강도서관][9월/어린이강좌] 우리 용호동에서 만나 / 2022년 마포구 한 주제로 함께 읽기,2022-09-24~2022-09-24,3층 세미나실,마포구청,초등4-6학년 20명,,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=5587,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=09673f6822e443278d01da56ef1e449f&thumb=Y,2022.8.26,기관,2022.9.24 0:00,2022.9.24 0:00,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139116&menuNo=200013
연극,양천구,2022 찾아가는 유랑극단 [보름물께의 비밀] 11:00,2022-09-24~2022-09-24,서울특별시 양천구 신정동 1325-3,양천문화재단,4세 이상,,,,,https://yfac.kr/main/site/ticket/page1.do?proc_type=view&tidx=124&prepage=%2Fmain%2Fsite%2Fticket%2Fpage1.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2742fad9c6cf4e629ba4c33370e119f3&thumb=Y,2022.8.12,기관,2022.9.24 0:00,2022.9.24 0:00,,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138987&menuNo=200008
기타,관악구,관악문화재단 '관악늘봄'과 함께하는 행사,2022-09-24~2022-09-24,용 꿈꾸는 작은 도서관(관악구청 본관 1층),관악문화재단,누구나,,,,,https://www.instagram.com/p/CihTnu0vPJQ/?utm_source=ig_web_copy_link,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e1a0e33d9ab04c1287fd888f8dfcc35f&thumb=Y,2022.9.16,기관,2022.9.24 0:00,2022.9.24 0:00,기타,37.46759765,126.9448709,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139364&menuNo=200013
축제-시민화합,광진구,제11회 광나루어울마당,2022-09-24~2022-09-24,광진숲나루,광진구청,누구나,,"채연, 정동원, 정은숙 외","구민이 함께 즐기는 화합의 한마당! (1부) 광진 구민의날 기념식, (2부) 동별 노래자랑, 초대가수 축하공연 등",,https://gwangjin.go.kr/photo/bbs/B0000111/list.do?lclasId=05&mclasId=0515&menuNo=1100041,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2529e76551994d58ad9d0e494af821c0&thumb=Y,2022.8.9,기관,2022.9.24 0:00,2022.9.24 0:00,,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138925&menuNo=200010
교육/체험,노원구,"[가족][아트랜드, 너는 누구니? Who are you ARTLAND?]",2022-09-24~2022-09-24,서울시립 북서울미술관 B1 어린이갤러리1,서울시립미술관,"어린이 초등학교 1-2학년, 3-4학년",,,,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1083073,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc4febdf9b584c1684c35ef96305ee18&thumb=Y,2022.9.8,기관,2022.9.24 0:00,2022.9.24 0:00,,37.64066045,127.0668656,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139266&menuNo=200011
콘서트,송파구,송파문화재단 듀엣쏭 [재즈의 향기를 전하다] 공연,2022-09-24~2022-09-24,올티드 커피 ,기타,전연령,,,,,https://www.songpafac.or.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8a42cf0280be49a083e856615a6f7050&thumb=Y,2022.8.23,기관,2022.9.24 0:00,2022.9.24 0:00,,37.50592943,127.1097315,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139082&menuNo=200008
기타,서초구,[예술의전당] 김소향&김현정의 소소살롱,2022-09-24~2022-09-24,예술의전당 리사이틀홀,서울시청,8세 이상,"전석 44,000원",,,,https://www.sac.or.kr/site/main/show/show_view?SN=45215,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6fccfec6c6ad40cd9f3f62a922f51960&thumb=Y,2022.9.2,기관,2022.9.24 0:00,2022.9.24 0:00,기타,37.4802402,127.0142152,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139187&menuNo=200013
축제-문화/예술,중랑구,찾아가는 예술테이블 [명랑중랑],2022-09-24~2022-09-24,중랑캠핑숲 잔디광장(서울시 중랑구 송림길 172),중랑문화재단,지역 주민 누구나,없음,,"예술가와 1:1로 마주앉아 마음 속 이야기를 나누고, 그 이야기가 예술이 되는 특별한 예술 체험 프로그램",,https://www.jnfac.or.kr/culture/visit.html,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4bfe2567e3c1413d9dca34635b8aea43&thumb=Y,2022.8.4,기관,2022.9.24 0:00,2022.9.24 0:00,어린이/청소년 문화행사,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138853&menuNo=200010
