"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"백석대학교","대학","사립","충남","26735635220","26405634420","19037800","310963000","16447019740","4538874000","5489415120","229511520","2265800000","161144500","3762274600","43182654960"
"백석문화대학교","전문대학","사립","충남","14438187160","14266805040","14810120","156572000","5272475310","905043000","1535088450","140372610","1019800000","116351500","1555819750","19710662470"
"백제예술대학교","전문대학","사립","전북","2604577285","2594196685","2880600","7500000","1196545980","293391200","449104720","43000000","274710000","","136340060","3801123265"
"부경대학교","대학","국공립","부산","30061573400","28921478950","62922060","1077172390","11221600820","2886327610","3311491760","1669877500","1414588050","","1939315900","41283174220"
"부산가톨릭대학교","대학","사립","부산","11063117450","10897046270","16958980","149112200","4533281370","1474409500","1047736220","278252600","815959000","43258000","873666050","15596398820"
"부산경상대학교","전문대학","사립","부산","10072489940","10072489940","","","2533951250","111862000","14738000","130881600","300920000","66269000","1909280650","12606441190"
"부산과학기술대학교","전문대학","사립","부산","9060080190","8946563790","45223400","68293000","3100000230","655681100","103838000","111564000","171484000","8873000","2048560130","12160080420"
"부산교육대학교","대학","국공립","부산","2274691190","1846217350","273159500","155314340","851736100","449362000","86868000","119322000","","","196184100","3126427290"
"부산대학교","대학","국공립","부산","39079315795","35991217475","735658560","2352439760","17447789640","7280588200","4738299050","1518993800","1936212210","","1973696380","56527105435"
"부산디지털대학교","대학","사립","부산","3862519549","3857819549","","4700000","674502200","40520500","18533000","6298200","","","609150500","4537021749"
"부산여자대학교","전문대학","사립","부산","7196056391","7131598351","2899640","61558400","2253204400","268177000","505748000","243000600","200165600","11505200","1024608000","9449260791"
"부산예술대학교","전문대학","사립","부산","1880542721","1864002721","","16540000","592955200","57688400","61997700","27588600","","","445680500","2473497921"
"부산외국어대학교","대학","사립","부산","15592043585","15381344205","25412880","185286500","8028557870","2456295000","1392118240","545124550","1287065000","51640000","2296315080","23620601455"
"부산장신대학교","대학","사립","경남","631524600","595501600","","36023000","530533010","36038500","204684500","21636670","889000","21019000","246265340","1162057610"
"부천대학교","전문대학","사립","경기","22525079700","22367385490","58266360","99427850","9545568150","972662770","2370296850","532456600","2628293940","43834500","2998023490","32070647850"
"사이버한국외국어대학교","대학","사립","서울","6143972317","6129771317","787000","13414000","2607482767","130347500","56780000","","","15254000","2405101267","8751455084"
"삼육대학교","대학","사립","서울","13287612929","12383540841","405991140","498080948","7936893175","619136100","2169253581","934781570","1332630269","215566100","2665525555","21224506104"
"삼육보건대학교","전문대학","사립","서울","3095384557","3015893167","20369000","59122390","1229384885","334173820","193774540","153619365","270628000","11441390","265747770","4324769442"
"상명대학교","대학","사립","서울","22979051810","22568873650","67408760","342769400","18574991641","5706541000","5339390100","705680400","2144043400","154465000","4524871741","41554043451"
"상지대학교","대학","사립","강원","12340349349","11831754289","232109130","276485930","8593808166","2183301350","1996699040","138111140","","259399000","4016297636","20934157515"
"상지영서대학교","전문대학","사립","강원","3270106850","3081157650","163049200","25900000","577237600","40408000","","8393400","","","528436200","3847344450"
