구분 ,국가명 ,진출지역,회사명(국문),회사명(영문),주소,홈페이지,진출년도,진출형태,투자형태,외국사 합작지분,업종1,업종2,취급분야,본사파견, 현지채용 ,내수/수출,모기업명,관할무역관
아시아 ,말레이시아,셀랑고르(Selangor),세왕정밀,Sewang Precision Sdn. Bhd.,"No. 11, Solok Sultan Hishamuddin 5, Kawasan PerinduStrian Pelabuhan Utara, 42000 Pelabuhan Klang, Selangor, Malaysia",-,2009,생산법인,단독,-,제조업,전기·전자·정밀기기·부품,마이크로오븐 메탈 스탬핑,-, 60 ,-,-,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),주안,Jooan Sdn. Bhd.,"2, Jln TPP 6/8, Tmn PerinduStrian Puchong, Seksyen 6, 47100 Puchong, Selangor, Malaysia",-,1999,생산법인,단독,-,제조업,전기·전자·정밀기기·부품,"전자제품용 탈지제, 피막제",-, 12 ,-,-,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),준희마이크론,Joonhee Micron Sdn. Bhd.,"Lot No.8904, Jalan Ikan Mata Duyong/ KS10 Telok Gong,42000 Pelabuhan Klang, Selangor Darul Ehsan, Malaysia",www.jhStamp.com,1991,생산법인,합작,-,제조업,전기·전자·정밀기기·부품,"전자레인지 부품, 유압 밸브 부품",-, 205 ,-,-,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),코차이나로지스틱,Korchina Logistics(M)Sdn. Bhd.,"6-1, Jalan Tiara 2D, Bandar Baru Klang, 41150 Klang, Selangor Darul Ehsan, Malaysia",www.korchina.com,1988,지점,합자,-,운수업,-,"항공, 해상 화물",-, 7 ,-,-,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),하비스트맨,HarveStman Sdn. Bhd.,"W-09-01, Subang Square business centre Jalan SS15/4G, 47500 Subang Jaya, Dagang 68000 Ampang, Selangor, Malaysia",-,2009,서비스법인,단독,-,서비스업,사업 시설관리 및 사업지원,일반작업자 대상 외국인 인력 공급 및 관리,-, 1 ,-,-,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),해공트랜스,K&M Smart Corporator Sdn. Bhd.,"C14-2, Jalan Aapang Utama 1/1,One Ampang Avenue, 68000 Ampang, Selangor, Malaysia",-,2001,서비스법인,단독,-,운수업,-,"포워딩, 국제이사, 현지이사, 전세계 항공티켓",-, 10 ,-,-,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),핵심전자,Haxim Electronics Sdn. Bhd.,"43 Jalan Mega 1B, Mega InduStrial Park, 43500 Semenhih, Selangor, Malaysia",-,1990,생산법인,단독,-,제조업,기계·장비,"전자회로인쇄, 사출, 프레스",-, 36 ,-,-,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),CJ지엘에스,CJ GLS Malaysia Sdn. Bhd.,"Suite 8.01, Level 8, IMS2, No.88, Jalan Batai Laut 4, Taman Intan, 41300 Klang, Selangor Darul Ehsan, Malaysia",www.cjkoreaexpress.co.kr,1997,서비스법인,단독,-,운수업,-,"해외수출입운송, 국제물류 등",3, 300 ,-,CJ대한통운㈜,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),LG전자㈜,LG Electronics Malaysia Sdn. Bhd.(LGEML),"Block A,PJ8, No.23 Jalan Barat, Seksyen 8, 46080 Petaling Jaya, Selangor, Malaysia",www.lg.com.my,2000,판매법인,단독,-,도매 및 소매업,-,전자 제품,8, 174 ,-,LG전자㈜㈜,쿠알라룸푸르무역관
아시아 ,말레이시아,셀랑고르(Selangor),패킷원네트웍스,Packet One Networks(Malaysia)Sdn. Bhd.,"Level 9, Packet Hub, 159, Jalan Templer, Petaling Jaya, 46050 Selangor, Malaysia",www.p1.com.my,2002,서비스법인,합작,-,서비스업,출판·영상·방송통신 및 정보,인터넷 서비스 및 통신 서비스 제공 ,5, 700 ,-,SK텔레콤㈜,쿠알라룸푸르무역관
