시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,도로명주소코드,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
2116,1147000000,344,서울특별시,양천구,신월5동주민센터,1.14701E+24,1147010300,1147060000,서울특별시 양천구 화곡로4길 10(신월동),150,126.827185,37.538579,184726.6552,548799.9561
2117,1147000000,345,서울특별시,양천구,신월6동주민센터,1.14701E+24,1147010300,1147061000,서울특별시 양천구 남부순환로83길 53(신월동),181,126.840951,37.514548,185938.76,546130.6995
2118,1147000000,376,서울특별시,양천구,강신중학교,1.14701E+24,1147010300,1147061000,서울특별시 양천구 남부순환로 604(신월동),936,126.838911,37.515242,185758.4937,546208.0117
2119,1144000000,195,서울특별시,마포구,마포구민체육센터,1.14401E+24,1144012300,1144070000,서울특별시 마포구 월드컵로25길 190(망원동),1490,126.896636,37.556386,190866.8684,550767.2944
2120,1144000000,196,서울특별시,마포구,마포구민체육센터,1.14401E+24,1144012300,1144070000,서울특별시 마포구 월드컵로25길 190(망원동),405,126.896636,37.556386,190866.8684,550767.2944
2121,1144000000,217,서울특별시,마포구,망원2동주민센터,1.14401E+24,1144012300,1144070000,서울특별시 마포구 방울내로7길 11(망원동),651,126.902352,37.560241,191372.3726,551194.6138
2122,1144000000,194,서울특별시,마포구,마포대진유치원,1.14401E+24,1144012400,1144071000,서울특별시 마포구 성미산로 110(연남동),1024,126.91939,37.561882,192877.8755,551375.3057
2123,1144000000,220,서울특별시,마포구,연남동주민센터,1.14401E+24,1144012400,1144071000,서울특별시 마포구 성미산로29길 17-9 (연남동),349,126.92321,37.564116,193215.6198,551622.983
2124,1144000000,201,서울특별시,마포구,성미산체육관,1.14401E+24,1144012500,1144072000,서울특별시 마포구 월드컵북로15길 31-11 (성산동),40,126.912123,37.562216,192235.8883,551412.9635
2125,1144000000,200,서울특별시,마포구,성미산체육관,1.14401E+24,1144012500,1144072000,서울특별시 마포구 월드컵북로15길 31-11 (성산동),1500,126.912123,37.562216,192235.8883,551412.9635
2126,1144000000,224,서울특별시,마포구,마포장애인종합복지관,1.14401E+24,1144012500,1144072000,서울특별시 마포구 성산로4길 35(성산동),157,126.90843,37.563804,191909.8183,551589.5143
2127,1144000000,129,서울특별시,마포구,서울중동초등학교,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵북로 152(성산동),782,126.911345,37.566644,192167.6228,551904.4408
2128,1144000000,203,서울특별시,마포구,성산종합사회복지관,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵로 215(성산동),50,126.900409,37.565043,191201.2648,551727.7595
2129,1144000000,204,서울특별시,마포구,성산종합사회복지관,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵로 215(성산동),60,126.900499,37.565043,191209.2162,551727.7511
2130,1144000000,205,서울특별시,마포구,마포구청,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵로 212(성산동),203,126.901769,37.566131,191321.5453,551848.3883
2131,1144000000,219,서울특별시,마포구,성산2동주민센터,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵북로30길 22(성산동),140,126.908946,37.568593,191955.8796,552121.0031
